# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  0    0  even     20000  6.201088e+00  7.642582e+01  6.201088e+00
  1    0  odd      20000  7.516048e-03  5.271164e-04  6.120375e+00
  2    1  even     20000  2.924676e-02  7.426779e-01  6.273500e+00
  3    1  odd      20000  3.170844e-03  2.642978e-03  6.132108e+00
  4    2  even     20000  4.466805e-02  1.259666e-01  6.344878e+00
  5    2  odd      20000  1.162891e-03  2.056269e-03  6.276798e+00
  6    3  even     20000  2.530241e-02  2.250630e-02  6.173971e+00
  7    3  odd      20000  1.118107e-03  1.348724e-03  6.200186e+00
  8    4  even     20000  1.552212e-02  5.677181e-03  6.349603e+00
  9    4  odd      20000  6.119501e-04  1.119703e-03  6.263070e+00
 10    5  even     20000  8.061188e-03  2.129347e-03  6.342332e+00
 11    5  odd      20000  1.199382e-04  9.716917e-04  6.223320e+00
 12    6  even     20000  4.278334e-03  2.511718e-04  6.243216e+00
 13    6  odd      20000  7.421681e-06  5.091299e-04  6.221609e+00
 14    7  even     20000  2.275853e-03  6.275829e-05  6.299932e+00
 15    7  odd      20000  4.430040e-05  1.260142e-04  6.336595e+00
 16    8  even     20000  1.088533e-03  1.536474e-05  6.236877e+00
 17    8  odd      20000  -1.131015e-05  3.120332e-05  6.354040e+00
 18    9  even     20000  5.557992e-04  3.886065e-06  6.282810e+00
 19    9  odd      20000  -2.741991e-05  7.690613e-06  6.272770e+00
 20   10  even     20000  2.785539e-04  9.624003e-07  6.292212e+00
 21   10  odd      20000  7.996824e-06  1.924928e-06  6.306829e+00
  0    0  even       200  5.976161e+00  7.068559e+01  5.976161e+00
  1    0  odd        200  6.517314e-03  6.174688e-04  6.211506e+00
  2    1  even       200  1.783081e-02  9.623257e-01  7.615923e+00
  3    1  odd        200  -9.039345e-04  2.993545e-03  5.736098e+00
  4    2  even       200  7.847595e-02  9.801195e-02  5.667941e+00
  5    2  odd        200  -2.987360e-03  1.971932e-03  5.668831e+00
  0    0  even    1201694  6.137081e+00  7.552776e+01  6.137081e+00
  1    0  odd       2312  7.767334e-03  5.381284e-04  6.204747e+00
  2    1  even     98963  3.038898e-02  7.453797e-01  6.177814e+00
  3    1  odd       3711  1.230445e-03  2.538944e-03  6.000300e+00
  4    2  even     23270  3.597949e-02  1.238861e-01  6.169465e+00
  5    2  odd       2045  1.966683e-03  1.975118e-03  5.885535e+00
  0    0  even     58283  6.096638e+00  7.465307e+01  6.096638e+00
  4    2  even      2028  2.650202e-02  1.289840e-01  6.332515e+00
  5    2  odd         35  7.365128e-03  1.338755e-03  5.872706e+00
  0    0  even     63871  6.113121e+00  7.511080e+01  6.113121e+00
  1    0  odd          3  -1.672567e-02  5.594960e-04  2.004637e+00
  4    2  even      1346  3.586636e-02  1.325828e-01  6.221857e+00
  5    2  odd        110  -7.108859e-04  1.475244e-03  4.697535e+00
  6    3  even      8985  2.258259e-02  2.237338e-02  6.036963e+00
  7    3  odd        800  -1.900234e-03  1.504641e-03  6.231750e+00
  0    0  even      2394  5.947841e+00  7.234712e+01  5.947841e+00
  1    0  odd          7  -4.687182e-03  7.018186e-04  5.940497e+00
  4    2  even        98  4.549237e-02  1.173470e-01  6.768007e+00
  7    3  odd        681  3.865447e-04  1.226597e-03  5.388625e+00
  0    0  even     43453  6.182313e+00  7.595244e+01  6.182313e+00
  1    0  odd         84  1.743740e-03  6.056364e-04  6.814642e+00
  3    1  odd         81  4.156374e-03  2.657701e-03  5.702932e+00
  4    2  even       881  3.893766e-02  1.049452e-01  5.979311e+00
  5    2  odd         69  2.629459e-04  2.931188e-03  6.448399e+00
  8    4  even      2792  1.379753e-02  5.678208e-03  6.570427e+00
  9    4  odd        490  -1.593497e-03  1.066801e-03  6.309791e+00
  0    0  even     12157  6.164519e+00  7.644997e+01  6.164519e+00
  1    0  odd         30  1.802255e-02  6.635429e-04  6.878765e+00
  3    1  odd         36  8.088059e-03  3.004421e-03  5.440783e+00
  4    2  even       174  4.714510e-02  1.976243e-01  6.989404e+00
  5    2  odd         40  -1.827570e-03  1.936731e-03  5.582140e+00
  8    4  even       205  2.232994e-02  6.104449e-03  5.682743e+00
  9    4  odd        429  1.915692e-03  1.065792e-03  5.976662e+00
  0    0  even     38223  6.157345e+00  7.472318e+01  6.157345e+00
  1    0  odd         80  1.110349e-02  6.403278e-04  5.935479e+00
  2    1  even       662  1.104202e-02  6.722672e-01  5.970794e+00
  3    1  odd        115  5.822254e-03  2.608086e-03  6.269540e+00
  4    2  even       826  5.851557e-02  1.402496e-01  6.058172e+00
  5    2  odd         68  7.011834e-03  3.148812e-03  6.802899e+00
  7    3  odd         37  1.021397e-02  1.988874e-03  6.611165e+00
  8    4  even        92  2.520089e-02  4.089845e-03  5.941352e+00
  9    4  odd         26  1.040530e-02  1.647764e-03  5.291656e+00
 10    5  even      1034  8.968980e-03  1.751544e-03  6.380153e+00
 11    5  odd        317  1.761396e-03  9.440169e-04  6.350488e+00
  0    0  even     18178  6.175609e+00  7.540908e+01  6.175609e+00
  1    0  odd         42  1.211521e-02  4.966707e-04  5.024472e+00
  2    1  even      1259  3.625605e-02  7.830899e-01  6.207794e+00
  3    1  odd         55  3.771424e-03  2.420155e-03  5.560035e+00
  4    2  even       428  4.681339e-02  8.181373e-02  6.196947e+00
  5    2  odd         54  -2.333492e-03  2.483663e-03  4.928587e+00
  7    3  odd         29  1.618130e-03  8.079013e-04  3.850632e+00
  8    4  even        28  1.061576e-02  2.790311e-03  4.653913e+00
  9    4  odd         21  -1.035514e-02  4.008173e-04  4.318286e+00
 10    5  even       192  6.811778e-03  1.720646e-03  6.074349e+00
 11    5  odd        319  -2.301453e-03  1.001606e-03  5.047285e+00
  0    0  even        46  7.505838e+00  1.254393e+02  7.505838e+00
  2    1  even        35  -7.300502e-02  4.502014e-01  4.032052e+00
  5    2  odd          7  -3.263817e-02  2.318025e-03  8.348157e+00
 11    5  odd         11  2.537417e-03  2.470649e-05  5.092145e+00
  0    0  even     37357  6.121748e+00  7.483509e+01  6.121748e+00
  1    0  odd         70  4.264703e-03  8.818277e-04  9.187875e+00
  2    1  even      2618  2.583452e-02  7.678706e-01  6.111205e+00
  3    1  odd        108  1.830854e-03  1.904851e-03  4.755993e+00
  4    2  even       684  4.085108e-02  1.044887e-01  5.784211e+00
  5    2  odd         71  9.937402e-04  1.221269e-03  3.965589e+00
  7    3  odd         34  -1.702905e-03  1.275192e-03  6.926367e+00
  8    4  even        74  1.124696e-02  5.126888e-03  6.378446e+00
  9    4  odd         19  -4.012144e-03  5.172861e-04  8.096677e+00
 10    5  even        30  1.585286e-02  4.225205e-03  7.369792e+00
 11    5  odd         12  1.307525e-03  2.999198e-04  6.302958e+00
 12    6  even       421  3.934976e-03  2.886112e-04  6.754233e+00
 13    6  odd        221  1.159954e-03  4.742926e-04  5.378870e+00
  0    0  even     12928  6.227525e+00  7.521392e+01  6.227525e+00
  1    0  odd         47  1.332858e-02  8.849601e-04  6.654226e+00
  2    1  even       959  1.938996e-02  7.366175e-01  6.095900e+00
  3    1  odd         24  1.961045e-02  5.059168e-03  7.864300e+00
  4    2  even       211  4.930021e-02  1.531410e-01  6.026960e+00
  5    2  odd         10  2.554568e-03  7.508549e-04  4.607241e+00
  6    3  even        79  5.267566e-03  2.149400e-02  5.407801e+00
  7    3  odd         13  -5.951548e-03  1.501448e-03  6.632813e+00
  8    4  even        24  2.229309e-02  6.129443e-03  8.292887e+00
  9    4  odd          4  1.410094e-02  1.237734e-03  1.251341e+01
 10    5  even        33  3.602924e-03  8.437689e-04  4.468010e+00
 11    5  odd          1  1.432592e-02  0.000000e+00  9.262694e+00
 13    6  odd        109  1.017354e-03  5.153192e-04  6.126189e+00
  0    0  even       298  5.749625e+00  7.049576e+01  5.749625e+00
  1    0  odd         15  1.164991e-02  7.065196e-04  3.107109e+00
  2    1  even        16  1.821136e-01  2.543176e-01  4.856079e+00
  3    1  odd         14  -2.995297e-02  3.634508e-03  9.460992e+00
  4    2  even        32  5.565643e-03  1.916113e-01  7.861115e+00
  6    3  even         1  0.000000e+00  0.000000e+00  0.000000e+00
  7    3  odd          1  -6.023571e-04  0.000000e+00  2.071625e+01
  8    4  even         2  5.944824e-02  3.534093e-03  2.882812e+00
  9    4  odd          1  0.000000e+00  0.000000e+00  0.000000e+00
 13    6  odd          5  8.055607e-04  2.111476e-04  2.352863e+00
  0    0  even     35805  6.107921e+00  7.492118e+01  6.107921e+00
  1    0  odd         72  3.842440e-03  5.201570e-04  6.439504e+00
  2    1  even      2514  6.026894e-03  7.594570e-01  6.342140e+00
  3    1  odd        110  3.279842e-03  2.582990e-03  5.593290e+00
  4    2  even       735  4.683315e-02  1.158446e-01  5.852763e+00
  5    2  odd         62  3.633920e-03  1.775818e-03  4.655600e+00
  6    3  even       218  3.108873e-02  2.455349e-02  6.710191e+00
  7    3  odd         38  6.804486e-03  2.298870e-03  6.644234e+00
  8    4  even        78  1.295823e-02  3.865506e-03  6.816024e+00
  9    4  odd         24  -5.821266e-03  1.266522e-03  4.551155e+00
 10    5  even        22  2.702193e-03  3.687432e-03  8.586942e+00
 11    5  odd         16  -2.167666e-03  6.279953e-04  4.781887e+00
 13    6  odd          7  -1.098756e-02  9.086315e-04  5.326764e+00
 14    7  even        84  3.404194e-03  7.668757e-05  5.913160e+00
 15    7  odd        109  -6.656746e-04  1.394317e-04  6.480047e+00
  0    0  even      2529  5.977634e+00  7.424914e+01  5.977634e+00
  1    0  odd          3  1.901898e-02  1.000207e-03  2.017319e+01
  2    1  even       210  -4.699707e-02  8.002136e-01  6.494745e+00
  3    1  odd          8  -4.695567e-02  4.130614e-03  9.737621e+00
  4    2  even        29  -3.074488e-02  1.112592e-01  4.843868e+00
  5    2  odd          2  1.222856e-02  1.208935e-03  1.015686e+01
  6    3  even        27  3.743037e-02  2.333762e-02  3.868598e+00
  7    3  odd         16  5.362695e-03  5.356657e-04  6.949872e+00
  9    4  odd          4  1.424247e-03  1.117823e-04  6.569120e+00
 10    5  even        14  0.000000e+00  1.009741e-03  5.151437e+00
 13    6  odd          4  -1.292707e-02  5.325563e-04  3.103249e+00
 14    7  even        13  5.342493e-04  3.805926e-06  5.001598e+00
 15    7  odd         21  2.988282e-03  9.951245e-05  6.160614e+00
  0    0  even       200  7.004325e+00  7.354545e+01  7.004325e+00
  1    0  odd        200  8.198614e-03  5.027857e-04  6.291069e+00
  2    1  even       200  6.655945e-02  6.809157e-01  5.909568e+00
  3    1  odd        200  -7.261146e-05  2.614308e-03  5.859508e+00
  4    2  even       200  7.580078e-02  1.564097e-01  6.998917e+00
  5    2  odd        200  -6.620481e-04  1.878196e-03  6.646945e+00
  0    0  even    308256  6.151410e+00  7.546348e+01  6.151410e+00
  1    0  odd        371  7.755887e-03  4.851055e-04  5.763848e+00
  2    1  even     20787  4.046221e-02  7.716108e-01  6.242036e+00
  3    1  odd        720  1.666510e-03  2.293019e-03  6.272030e+00
  4    2  even      6913  4.068613e-02  1.292785e-01  6.300120e+00
  5    2  odd        352  4.752009e-03  2.254165e-03  6.619133e+00
  0    0  even      7424  6.244396e+00  7.553112e+01  6.244396e+00
