# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  0    0  even     20000  1.090501e+01  2.494397e+02  1.090501e+01
  1    0  odd      20000  1.485477e-02  9.648960e-04  1.105734e+01
  2    1  even     20000  1.772258e-01  6.286287e-01  1.107558e+01
  3    1  odd      20000  -7.660175e-06  1.600254e-03  1.123268e+01
  4    2  even     20000  9.837869e-02  1.560494e-01  1.119210e+01
  5    2  odd      20000  1.726520e-04  1.759587e-03  1.131374e+01
  6    3  even     20000  6.042918e-02  5.750177e-02  1.136897e+01
  7    3  odd      20000  -1.087406e-04  2.184146e-03  1.124660e+01
  8    4  even     20000  2.956211e-02  1.602803e-02  1.127683e+01
  9    4  odd      20000  7.682724e-04  2.894180e-03  1.121418e+01
 10    5  even     20000  1.713016e-02  8.204002e-03  1.161499e+01
 11    5  odd      20000  1.488292e-04  4.499688e-03  1.128888e+01
 12    6  even     20000  7.130951e-03  8.523816e-03  1.121830e+01
 13    6  odd      20000  -1.888708e-03  7.675026e-03  1.141376e+01
 14    7  even     20000  2.814880e-03  1.393598e-02  1.145399e+01
 15    7  odd      20000  -2.930453e-04  1.375512e-02  1.110119e+01
 16    8  even     20000  1.447473e-03  2.619565e-02  1.130252e+01
 17    8  odd      20000  3.699056e-04  2.620669e-02  1.134377e+01
 18    9  even     20000  1.827716e-03  4.939296e-02  1.136255e+01
 19    9  odd      20000  1.505190e-04  5.000518e-02  1.115632e+01
 20   10  even     20000  1.266248e-03  1.015016e-01  1.142662e+01
 21   10  odd      20000  -1.503968e-03  1.008580e-01  1.147504e+01
