# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  0    0  even     20000  6.201088e+00  7.642582e+01  6.201088e+00
  1    0  odd      20000  7.516048e-03  5.271164e-04  6.120375e+00
  2    1  even     20000  2.924676e-02  7.426779e-01  6.273500e+00
  3    1  odd      20000  3.170844e-03  2.642978e-03  6.132108e+00
  4    2  even     20000  4.466805e-02  1.259666e-01  6.344878e+00
  5    2  odd      20000  1.162891e-03  2.056269e-03  6.276798e+00
  6    3  even     20000  2.530241e-02  2.250630e-02  6.173971e+00
  7    3  odd      20000  1.118107e-03  1.348724e-03  6.200186e+00
  8    4  even     20000  1.552212e-02  5.677181e-03  6.349603e+00
  9    4  odd      20000  6.119501e-04  1.119703e-03  6.263070e+00
 10    5  even     20000  8.061188e-03  2.129347e-03  6.342332e+00
 11    5  odd      20000  1.199382e-04  9.716917e-04  6.223320e+00
 12    6  even     20000  4.372418e-03  1.205622e-03  6.230251e+00
 13    6  odd      20000  2.611421e-04  9.346841e-04  6.183960e+00
 14    7  even     20000  1.887482e-03  9.730842e-04  6.192940e+00
 15    7  odd      20000  2.015012e-04  9.477235e-04  6.280726e+00
 16    8  even     20000  1.619965e-03  9.595327e-04  6.329028e+00
 17    8  odd      20000  -5.324347e-04  9.377943e-04  6.276199e+00
 18    9  even     20000  -1.762640e-03  8.993239e-04  6.375724e+00
 19    9  odd      20000  2.511632e-03  8.989587e-04  6.248807e+00
 20   10  even     20000  -2.241199e-03  7.187594e-04  6.235248e+00
 21   10  odd      20000  2.352754e-03  7.257322e-04  6.313158e+00
  0    0  even       200  6.781940e+00  8.943459e+01  6.781940e+00
  1    0  odd        200  9.290221e-03  4.623129e-04  7.033525e+00
  2    1  even       200  -6.924316e-02  8.013003e-01  7.047921e+00
  3    1  odd        200  2.873896e-03  2.438931e-03  7.276546e+00
  4    2  even       200  2.020996e-02  1.002043e-01  6.421591e+00
  5    2  odd        200  -3.180006e-03  1.737469e-03  5.888419e+00
  0    0  even    1494445  6.119010e+00  7.500465e+01  6.119010e+00
  1    0  odd       2203  7.049132e-03  5.406123e-04  6.049035e+00
  2    1  even     99839  3.527605e-02  7.420936e-01  6.165494e+00
  3    1  odd       3703  4.157757e-03  2.785542e-03  6.343052e+00
  4    2  even     34709  3.697815e-02  1.213243e-01  6.211278e+00
  5    2  odd       2130  2.391680e-03  2.029928e-03  6.310058e+00
  1    0  odd        204  6.307345e-03  6.636561e-04  5.545237e+00
  3    1  odd        292  3.988437e-03  2.960181e-03  5.490696e+00
  5    2  odd        196  4.092227e-04  1.702236e-03  6.604569e+00
  6    3  even     16727  2.584992e-02  2.373091e-02  6.183849e+00
  7    3  odd       1247  1.200163e-04  1.382945e-03  6.458665e+00
  7    3  odd        208  4.838842e-03  1.432008e-03  5.371321e+00
  1    0  odd        137  6.076483e-03  3.855147e-04  5.682642e+00
  2    1  even      1246  2.439016e-02  7.954339e-01  6.163486e+00
  3    1  odd        190  5.877198e-03  2.445887e-03  6.157967e+00
  4    2  even       435  4.784174e-02  1.086055e-01  5.694776e+00
  5    2  odd         93  -2.867884e-03  1.655801e-03  6.725028e+00
  7    3  odd         97  6.202676e-03  1.619801e-03  6.420903e+00
  8    4  even      6087  1.566573e-02  6.093955e-03  6.227125e+00
  9    4  odd        766  5.545111e-04  1.052626e-03  5.931394e+00
  9    4  odd        178  -2.352508e-03  1.003262e-03  5.245776e+00
  1    0  odd         80  1.077828e-02  3.975373e-04  6.065205e+00
  2    1  even      3740  5.501552e-03  6.915114e-01  6.132703e+00
  3    1  odd        148  1.007245e-03  2.658223e-03  6.336736e+00
  4    2  even      1305  4.273200e-02  1.563109e-01  6.387583e+00
  5    2  odd         88  6.855679e-03  2.464588e-03  7.427125e+00
  7    3  odd         65  -2.125274e-03  1.636977e-03  4.400048e+00
  9    4  odd         41  -1.050362e-03  6.893225e-04  4.307214e+00
 10    5  even      2203  7.555837e-03  2.070103e-03  6.124838e+00
 11    5  odd        486  -8.180297e-04  8.885610e-04  5.884252e+00
 11    5  odd        153  -6.923849e-04  1.451135e-03  7.401959e+00
  5    2  odd          1  0.000000e+00  0.000000e+00  0.000000e+00
 11    5  odd         48  5.849689e-04  1.308548e-03  5.456712e+00
 11    5  odd          7  1.685768e-02  4.910972e-04  6.607318e+00
  0    0  even     54727  6.118845e+00  7.488684e+01  6.118845e+00
  1    0  odd         97  5.619249e-03  4.849827e-04  6.086868e+00
  2    1  even      3875  2.158884e-02  8.258707e-01  6.319841e+00
  3    1  odd        170  8.051340e-04  2.587120e-03  8.355828e+00
  4    2  even      1352  5.786422e-02  1.404477e-01  6.402888e+00
  5    2  odd        113  7.667688e-04  1.584805e-03  6.316326e+00
  7    3  odd         68  -3.532173e-03  1.434190e-03  5.096451e+00
  9    4  odd         30  -2.201384e-04  4.859369e-04  5.381337e+00
 11    5  odd         28  3.502427e-03  1.276290e-03  7.752441e+00
 12    6  even       797  5.146711e-03  1.228403e-03  6.308028e+00
 13    6  odd        357  -3.088115e-04  1.152652e-03  6.726301e+00
  0    0  even     15025  6.167950e+00  7.570705e+01  6.167950e+00
  1    0  odd         25  1.542526e-02  4.970802e-04  1.044090e+01
  2    1  even      1283  5.365452e-02  8.469747e-01  6.137449e+00
  3    1  odd         40  6.911493e-03  3.828255e-03  5.444481e+00
  4    2  even       448  3.065572e-02  1.045856e-01  6.548455e+00
  5    2  odd         16  6.394591e-03  1.467915e-03  7.262550e+00
  7    3  odd         17  9.193298e-03  2.327338e-03  8.479341e+00
  9    4  odd          2  -1.370905e-02  6.363708e-04  9.603965e+00
 11    5  odd         10  8.258087e-03  1.551723e-03  5.050836e+00
 13    6  odd        186  5.737329e-03  1.508714e-03  7.406773e+00
  0    0  even      3047  6.140343e+00  7.378394e+01  6.140343e+00
  1    0  odd          6  8.778920e-03  5.855261e-04  2.010324e+00
  2    1  even       299  6.937472e-02  8.131286e-01  6.820497e+00
  3    1  odd         17  -4.476044e-03  3.696286e-03  9.310192e+00
  4    2  even       104  1.542546e-02  9.649936e-02  6.429875e+00
  5    2  odd          4  1.649585e-02  3.806339e-04  2.886337e+00
  7    3  odd          9  -3.523843e-04  4.309840e-04  5.038727e+00
  9    4  odd          2  3.404039e-02  1.158748e-03  1.034507e+00
 11    5  odd          4  3.084899e-02  5.774289e-04  4.715936e+00
 13    6  odd         30  -2.651335e-04  9.777991e-04  4.809310e+00
  0    0  even     77607  6.161399e+00  7.565633e+01  6.161399e+00
  1    0  odd        147  8.498501e-03  4.838982e-04  5.480494e+00
  2    1  even      5487  1.999949e-02  7.229131e-01  6.167392e+00
  3    1  odd        239  6.532334e-03  3.260676e-03  6.890003e+00
  4    2  even      1914  2.438472e-02  1.267761e-01  6.170921e+00
  5    2  odd        139  2.888929e-03  2.939515e-03  6.936522e+00
  7    3  odd         82  3.007622e-03  1.062486e-03  6.021015e+00
  9    4  odd         52  7.990990e-03  1.800132e-03  7.136288e+00
 11    5  odd         38  4.682680e-03  9.457333e-04  6.425317e+00
 12    6  even        36  0.000000e+00  5.890156e-04  3.790256e+00
 13    6  odd         25  2.866926e-03  7.488686e-04  7.375824e+00
 14    7  even       411  4.917859e-03  1.024864e-03  6.227997e+00
 15    7  odd        295  8.002962e-04  9.382065e-04  6.434497e+00
  0    0  even     20542  6.049695e+00  7.283373e+01  6.049695e+00
  1    0  odd         31  1.262326e-02  8.079170e-04  5.215618e+00
  2    1  even      1340  3.841981e-02  8.450490e-01  6.155952e+00
  3    1  odd         83  -4.643012e-03  2.808477e-03  6.050192e+00
  4    2  even       468  3.061852e-02  1.184452e-01  5.820884e+00
  5    2  odd         71  5.196435e-03  1.893925e-03  5.969998e+00
  7    3  odd         11  1.198114e-03  5.368339e-04  5.309819e+00
  9    4  odd         35  2.357587e-03  8.230272e-04  8.678717e+00
 11    5  odd          8  4.919546e-03  2.054696e-04  6.884740e+00
 12    6  even         1  0.000000e+00  0.000000e+00  0.000000e+00
 13    6  odd          2  4.873280e-03  2.374886e-05  7.027607e+00
 14    7  even       134  4.436436e-04  1.028383e-03  7.353425e+00
 15    7  odd         74  -5.674232e-03  7.645727e-04  5.230327e+00
  0    0  even     95128  6.164401e+00  7.638098e+01  6.164401e+00
  1    0  odd        189  7.480285e-03  4.878319e-04  6.198021e+00
  2    1  even      6818  1.774019e-02  7.411555e-01  6.162501e+00
  3    1  odd        293  1.889622e-03  2.342317e-03  5.704382e+00
  4    2  even      2379  4.543042e-02  1.413930e-01  6.395099e+00
  5    2  odd        173  4.276439e-03  1.511488e-03  5.910883e+00
  7    3  odd        100  3.857402e-03  1.261461e-03  5.221219e+00
  9    4  odd         59  -2.071776e-03  1.105503e-03  6.639540e+00
 11    5  odd         41  3.307030e-03  5.224121e-04  6.413798e+00
 12    6  even        47  6.324281e-03  7.871317e-04  8.650308e+00
 13    6  odd         34  -9.730338e-03  6.955356e-04  9.462211e+00
 14    7  even        32  3.715515e-03  6.488375e-04  4.341461e+00
 15    7  odd         15  1.406756e-02  5.844806e-04  6.966668e+00
 16    8  even       285  4.171806e-03  9.498216e-04  5.525469e+00
 17    8  odd        190  -4.976983e-05  7.832231e-04  5.949021e+00
  0    0  even     33170  6.077316e+00  7.383580e+01  6.077316e+00
  1    0  odd         53  7.433534e-03  5.134407e-04  6.442815e+00
  2    1  even      2256  2.084811e-02  6.892758e-01  6.389482e+00
  3    1  odd         74  9.987524e-03  3.601637e-03  5.928379e+00
  4    2  even       788  2.474418e-02  1.086713e-01  6.757221e+00
  5    2  odd         37  1.215559e-02  1.685837e-03  7.237556e+00
  7    3  odd         30  -1.527178e-03  1.625093e-03  5.192527e+00
  9    4  odd         23  -3.588895e-03  5.254812e-04  5.675893e+00
 11    5  odd          5  -1.322426e-02  3.294847e-04  2.824676e+00
 12    6  even         8  0.000000e+00  8.835234e-04  4.443115e+00
 13    6  odd          5  -6.564958e-03  1.723947e-04  3.102443e+00
 14    7  even         5  1.188965e-02  5.654550e-04  3.316602e+00
 15    7  odd          6  4.074977e-03  7.474688e-04  3.139809e+00
 16    8  even       114  3.128855e-03  4.862234e-04  4.987988e+00
 17    8  odd         67  4.014589e-03  7.969751e-04  5.883416e+00
  0    0  even    119765  6.123743e+00  7.546035e+01  6.123743e+00
  1    0  odd        224  7.537165e-03  5.718226e-04  6.118602e+00
  2    1  even      8368  1.422202e-02  7.269231e-01  6.122637e+00
  3    1  odd        377  1.067786e-03  2.388906e-03  5.839547e+00
  4    2  even      2920  3.265653e-02  1.222994e-01  6.120298e+00
  5    2  odd        216  1.626208e-03  1.860706e-03  5.695132e+00
  7    3  odd        132  4.168387e-03  1.309309e-03  6.205636e+00
  9    4  odd         73  1.440524e-04  7.307316e-04  5.405062e+00
 11    5  odd         54  -4.230605e-03  7.431919e-04  5.459544e+00
 12    6  even        58  -2.049939e-03  8.488548e-04  6.832789e+00
 13    6  odd         41  -4.072233e-03  5.424006e-04  5.370640e+00
 14    7  even        37  0.000000e+00  5.730962e-04  3.902129e+00
 15    7  odd         25  -1.252756e-02  7.048120e-04  7.746335e+00
 17    8  odd         18  -2.430794e-03  8.846415e-04  6.327144e+00
