# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  0    0  even     20000  1.774314e+01  1.866470e+02  1.774314e+01
  1    0  odd      20000  3.141727e-03  9.891640e-04  3.141727e-03
  2    1  even     20000  -1.160368e-01  1.389803e+00  1.743003e+01
  3    1  odd      20000  1.344298e-03  2.112262e-03  1.739970e+01
  4    2  even     20000  -1.380607e-01  4.939571e-01  1.739713e+01
  5    2  odd      20000  2.180598e-04  2.381270e-03  1.746662e+01
  6    3  even     20000  -9.001525e-02  1.490645e-01  1.731150e+01
  7    3  odd      20000  -3.125044e-05  2.454454e-03  1.723313e+01
  8    4  even     20000  -5.254005e-02  4.192151e-02  1.725074e+01
  9    4  odd      20000  3.255687e-04  2.514661e-03  1.714514e+01
 10    5  even     20000  -2.779784e-02  1.280680e-02  1.725110e+01
 11    5  odd      20000  9.097613e-04  2.448252e-03  1.722920e+01
 12    6  even     20000  -1.399283e-02  4.781948e-03  1.714899e+01
 13    6  odd      20000  4.993178e-04  2.118502e-03  1.729507e+01
 14    7  even     20000  -6.934644e-03  2.318520e-03  1.719992e+01
 15    7  odd      20000  -6.094712e-05  1.708497e-03  1.723260e+01
 16    8  even     20000  -3.718488e-03  1.673614e-03  1.735402e+01
 17    8  odd      20000  -1.113685e-04  1.478302e-03  1.718988e+01
 18    9  even     20000  -1.935040e-03  1.356617e-03  1.721556e+01
 19    9  odd      20000  -1.589980e-04  1.297532e-03  1.723797e+01
 20   10  even     20000  -1.703192e-03  1.238715e-03  1.722162e+01
 21   10  odd      20000  1.473705e-04  1.219963e-03  1.731146e+01
  0    0  even       200  1.950139e+01  2.179186e+02  1.950139e+01
  1    0  odd        200  3.071839e-03  9.520275e-04  3.071839e-03
  2    1  even       200  -1.528046e-01  1.127997e+00  1.637499e+01
  3    1  odd        200  -4.468775e-04  2.047437e-03  1.758093e+01
  4    2  even       200  -9.422852e-02  5.324210e-01  1.948002e+01
  5    2  odd        200  -4.990679e-04  2.512615e-03  1.783640e+01
  0    0  even    14170844  1.765652e+01  1.844471e+02  1.765652e+01
  1    0  odd      20745  2.196613e-03  9.813081e-04  2.196613e-03
  2    1  even    720732  -1.097628e-01  1.409436e+00  1.757123e+01
  3    1  odd      21519  1.651419e-03  2.140324e-03  1.760767e+01
  4    2  even    350030  -1.364384e-01  4.912477e-01  1.738531e+01
  5    2  odd      16813  1.089226e-03  2.358255e-03  1.739984e+01
  2    1  even     37310  -1.159195e-01  1.372375e+00  1.740710e+01
  1    0  odd        759  5.169015e-03  9.943025e-04  5.169015e-03
  2    1  even     63842  -1.166766e-01  1.410780e+00  1.754859e+01
  3    1  odd        945  6.717199e-04  2.092464e-03  1.744174e+01
  6    3  even    160524  -9.395950e-02  1.484938e-01  1.729453e+01
  7    3  odd       7868  3.645923e-05  2.451590e-03  1.751402e+01
  7    3  odd       4163  -2.887885e-04  2.366160e-03  1.775058e+01
  1    0  odd       1250  3.748041e-03  9.738964e-04  3.748041e-03
  2    1  even     47100  -1.124927e-01  1.407618e+00  1.754143e+01
  3    1  odd       1286  7.306160e-04  2.342294e-03  1.774874e+01
  4    2  even     12838  -1.359555e-01  4.934016e-01  1.725412e+01
  5    2  odd        782  -1.139746e-03  2.104234e-03  1.737485e+01
  7    3  odd        716  1.953185e-05  2.431801e-03  1.751888e+01
  8    4  even     65975  -5.333525e-02  4.291696e-02  1.721120e+01
  9    4  odd       5958  -5.059610e-04  2.511987e-03  1.732404e+01
  9    4  odd       3179  8.271209e-04  2.489024e-03  1.725447e+01
  0    0  even    585690  1.763250e+01  1.837758e+02  1.763250e+01
