# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  0    0  even     20000  5.681042e+00  6.114456e+01  5.681042e+00
  1    0  odd      20000  1.326751e-03  2.863442e-04  1.326751e-03
  2    1  even     20000  4.564857e-02  2.500468e-01  5.613158e+00
  3    1  odd      20000  -1.503530e-04  2.378601e-03  5.624377e+00
  4    2  even     20000  4.280751e-02  3.874020e-02  5.714450e+00
  5    2  odd      20000  4.963016e-04  1.844453e-03  5.761759e+00
  6    3  even     20000  2.707361e-02  7.554476e-03  5.743035e+00
  7    3  odd      20000  1.742416e-05  1.201446e-03  5.713529e+00
  8    4  even     20000  1.538819e-02  2.331251e-03  5.803531e+00
  9    4  odd      20000  8.306399e-05  1.036121e-03  5.739499e+00
 10    5  even     20000  7.811499e-03  1.265679e-03  5.765053e+00
 11    5  odd      20000  -9.633898e-05  9.369243e-04  5.743848e+00
 12    6  even     20000  3.724432e-03  9.652492e-04  5.759726e+00
 13    6  odd      20000  2.392885e-04  9.068184e-04  5.767413e+00
 14    7  even     20000  1.957470e-03  1.519697e-05  5.741066e+00
 15    7  odd      20000  2.757774e-06  3.130422e-05  5.791772e+00
 16    8  even     20000  9.763557e-04  3.694260e-06  5.765625e+00
 17    8  odd      20000  2.122754e-07  7.675529e-06  5.790549e+00
 18    9  even     20000  5.020204e-04  9.637278e-07  5.789792e+00
 19    9  odd      20000  4.492272e-06  1.899873e-06  5.790565e+00
 20   10  even     20000  2.487231e-04  2.423791e-07  5.756667e+00
 21   10  odd      20000  -7.148445e-07  4.993635e-07  5.828106e+00
  0    0  even       200  5.089720e+00  5.322400e+01  5.089720e+00
  1    0  odd        200  4.201119e-04  2.219672e-04  4.201119e-04
  2    1  even       200  5.261536e-02  1.972809e-01  5.206496e+00
  3    1  odd        200  1.523972e-04  2.274938e-03  5.019512e+00
  4    2  even       200  3.091064e-02  2.686293e-02  5.167145e+00
  5    2  odd        200  -1.748000e-03  1.373098e-03  4.431272e+00
  0    0  even    3296456  5.623717e+00  5.956514e+01  5.623717e+00
  1    0  odd       4561  1.011906e-03  2.792106e-04  1.011906e-03
  2    1  even    141722  3.923312e-02  2.535333e-01  5.648293e+00
  3    1  odd      10577  8.647910e-04  2.405187e-03  5.704199e+00
  4    2  even     36832  4.156011e-02  3.886354e-02  5.720351e+00
  5    2  odd       5721  -7.095817e-04  1.816539e-03  5.720135e+00
  0    0  even    434805  5.623303e+00  5.956824e+01  5.623303e+00
  1    0  odd        928  1.175174e-03  2.662208e-04  1.175174e-03
  2    1  even     30194  3.847681e-02  2.455859e-01  5.619151e+00
  3    1  odd       1073  1.937709e-03  2.342101e-03  6.146162e+00
  4    2  even     10586  4.236200e-02  3.764182e-02  5.575079e+00
  5    2  odd       1335  1.137304e-03  1.835658e-03  5.733883e+00
  0    0  even    137699  5.624572e+00  5.960546e+01  5.624572e+00
  1    0  odd        191  1.344228e-03  3.291792e-04  1.344228e-03
  2    1  even      5864  3.847378e-02  2.529951e-01  5.757781e+00
  3    1  odd        424  5.503387e-04  2.320228e-03  5.614915e+00
  4    2  even      1593  3.758348e-02  3.618053e-02  5.679726e+00
  5    2  odd        282  1.156947e-03  1.944366e-03  6.064775e+00
  6    3  even     16199  2.755419e-02  7.560125e-03  5.800662e+00
  7    3  odd       2482  8.712698e-04  1.245653e-03  5.830311e+00
  0    0  even     20366  5.618960e+00  5.939454e+01  5.618960e+00
