# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  0    0  even     20000  5.681042e+00  6.114456e+01  5.681042e+00
  1    0  odd      20000  1.326751e-03  2.863442e-04  1.326751e-03
  2    1  even     20000  4.552943e-02  2.509497e-01  5.613044e+00
  3    1  odd      20000  1.601121e-05  2.715542e-03  5.624211e+00
  4    2  even     20000  4.268282e-02  3.993158e-02  5.714582e+00
  5    2  odd      20000  4.576844e-04  2.764082e-03  5.761727e+00
  6    3  even     20000  2.661312e-02  9.341710e-03  5.742822e+00
  7    3  odd      20000  2.491721e-04  2.950148e-03  5.713175e+00
  8    4  even     20000  1.563515e-02  5.996974e-03  5.803653e+00
  9    4  odd      20000  2.998730e-04  4.644319e-03  5.739294e+00
 10    5  even     20000  5.873846e-03  8.429309e-03  5.763908e+00
 11    5  odd      20000  3.404959e-04  8.087948e-03  5.743969e+00
 12    6  even     20000  3.216370e-03  1.560829e-02  5.759607e+00
 13    6  odd      20000  -1.684001e-04  1.530971e-02  5.767535e+00
 14    7  even     20000  1.703503e-03  3.435648e-02  5.739651e+00
 15    7  odd      20000  -1.712828e-04  3.437888e-02  5.781707e+00
 16    8  even     20000  5.911438e-04  2.018027e-01  5.792949e+00
 17    8  odd      20000  -4.612145e-03  1.956076e-01  5.757321e+00
 18    9  even     20000  -1.004628e-01  2.247718e+00  5.675812e+00
 19    9  odd      20000  8.420660e-02  2.160892e+00  5.700064e+00
 20   10  even     20000  1.902397e+00  1.365417e+01  7.585605e+00
 21   10  odd      20000  -1.891416e+00  1.386029e+01  7.589180e+00
