# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  2    1  even     11738  3.392449e-02  2.528982e-01  5.655823e+00
  3    1  odd        827  1.071245e-03  2.527607e-03  5.476427e+00
  4    2  even      4400  4.267145e-02  3.783544e-02  5.599528e+00
  5    2  odd        496  4.128469e-04  1.897504e-03  5.756651e+00
  7    3  odd        293  2.206573e-03  1.207546e-03  4.836206e+00
  9    4  odd        188  -5.709875e-04  8.610081e-04  6.156688e+00
 11    5  odd        126  -1.772054e-03  1.178099e-03  5.021017e+00
 12    6  even       123  5.316509e-03  9.773711e-04  5.697321e+00
 13    6  odd         87  -2.274584e-03  1.052338e-03  5.176780e+00
 14    7  even      1261  8.485871e-04  9.521679e-04  6.060610e+00
 15    7  odd        927  1.193016e-03  8.930693e-04  5.762055e+00
  0    0  even     83526  5.588651e+00  5.892935e+01  5.588651e+00
  1    0  odd        104  1.171164e-03  1.788534e-04  1.171164e-03
  2    1  even      3955  3.281611e-02  2.618484e-01  5.844831e+00
  3    1  odd        283  -8.490673e-04  2.237363e-03  5.845044e+00
  4    2  even      1483  4.586148e-02  4.105741e-02  6.035458e+00
  5    2  odd        177  -1.683888e-03  1.844006e-03  6.140298e+00
  7    3  odd         92  1.961762e-04  8.962360e-04  6.196833e+00
  9    4  odd         48  -3.446554e-04  9.123445e-04  5.293371e+00
 11    5  odd         60  1.725239e-03  8.297362e-04  7.059479e+00
 12    6  even        47  5.059425e-03  1.177498e-03  6.086665e+00
 13    6  odd         34  1.303646e-03  7.265443e-04  4.446379e+00
 14    7  even       499  3.216638e-03  1.044924e-03  6.161280e+00
 15    7  odd        278  -1.776034e-06  1.012749e-03  5.699119e+00
  0    0  even      4362  5.686709e+00  5.934909e+01  5.686709e+00
  2    1  even       341  7.164990e-02  1.934733e-01  5.525856e+00
  3    1  odd          4  -2.990929e-02  1.111298e-03  3.834412e+00
  4    2  even       127  1.919099e-02  3.912271e-02  6.261210e+00
  5    2  odd         11  -1.542466e-02  5.688358e-04  5.042292e+00
  9    4  odd          1  -7.638319e-02  0.000000e+00  1.284082e+01
 12    6  even         9  6.605360e-03  3.490463e-04  5.971300e+00
 14    7  even        26  -4.572942e-03  7.946482e-04  5.137583e+00
 15    7  odd         20  -7.492265e-03  8.280795e-04  4.696411e+00
