# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  3    1  odd       1432  2.414765e-03  2.205854e-03  1.781262e+01
  4    2  even     21912  -1.408353e-01  5.002083e-01  1.741590e+01
  5    2  odd       1083  -9.054270e-04  2.170224e-03  1.714859e+01
  6    3  even      8524  -9.569417e-02  1.521660e-01  1.726340e+01
  7    3  odd        755  -1.725530e-03  2.498465e-03  1.739652e+01
  8    4  even      3217  -4.896444e-02  4.242473e-02  1.725002e+01
  9    4  odd        550  5.295008e-04  2.495469e-03  1.694302e+01
 11    5  odd      16885  -9.849231e-04  2.033007e-02  1.720662e+01
  0    0  even    1103921  1.766520e+01  1.846828e+02  1.766520e+01
  1    0  odd       1762  3.434777e-03  1.002883e-03  3.434777e-03
  2    1  even     67688  -1.066717e-01  1.392543e+00  1.752605e+01
  3    1  odd       1906  5.359635e-04  1.996944e-03  1.670631e+01
  4    2  even     28731  -1.296421e-01  4.849449e-01  1.735536e+01
  5    2  odd       1349  2.988583e-03  2.312612e-03  1.713498e+01
  6    3  even     11189  -9.233696e-02  1.489247e-01  1.734145e+01
  7    3  odd       1013  -3.735661e-04  2.502886e-03  1.808116e+01
  8    4  even      4192  -5.955093e-02  4.387100e-02  1.712017e+01
  9    4  odd        718  -1.281029e-03  2.450007e-03  1.763911e+01
 11    5  odd       1390  -1.548289e-03  1.995875e-02  1.774404e+01
 12    6  even      5297  -1.445042e-02  2.795544e-03  1.726471e+01
 13    6  odd       7355  3.250261e-04  5.212535e-03  1.718681e+01
 12    6  even       364  -1.524426e-02  2.806966e-03  1.770713e+01
 13    6  odd        375  2.370207e-03  4.406166e-03  1.694608e+01
  0    0  even    720063  1.764964e+01  1.838767e+02  1.764964e+01
  1    0  odd       1193  3.395967e-03  1.008977e-03  3.395967e-03
  2    1  even     44143  -1.155960e-01  1.434151e+00  1.758645e+01
  3    1  odd       1156  7.450164e-05  1.934281e-03  1.714953e+01
  4    2  even     18320  -1.281309e-01  5.034200e-01  1.742312e+01
  5    2  odd        901  5.133713e-04  2.308065e-03  1.762980e+01
  6    3  even      7235  -1.011058e-01  1.527220e-01  1.738744e+01
  7    3  odd        670  -1.852029e-03  2.468071e-03  1.680469e+01
  8    4  even      2795  -4.788058e-02  4.022242e-02  1.735585e+01
  9    4  odd        461  -1.184636e-03  2.485913e-03  1.908147e+01
 11    5  odd        931  -5.947634e-04  1.880808e-02  1.775016e+01
